time,Rx,Ry,Rz,Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],mmm,distance,R(km),volacity,B_n,Vx min/max,Vy min/max,Vz min/max,Vx min/max.1,Vx min/max.2,Vx min/max.3,MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH]
1627.276718,-41300.0,6860.0,11600.0,-4.02,-0.659,0.0202,22666.29909,5005.38292247708,43443.17667942803,4.083271477626733,62796.39478650594,,,,,,,-367000.0,141000.0,84300.0
1628.276718,-41600.0,6820.0,11600.0,-4.01,-0.661,0.0168,22666.29909,5009.456629516129,43722.21860793434,4.073707039049322,61997.40008903499,,,,,,,-367000.0,141000.0,84200.0
1629.276718,-41800.0,6780.0,11600.0,-4.0,-0.663,0.0135,22666.29909,5013.520778041959,43906.35944826216,4.064148525829242,61478.46324587594,,,,,,,-367000.0,141000.0,84200.0
1630.276718,-42000.0,6740.0,11600.0,-3.99,-0.665,0.0103,22666.29909,5017.575374353553,44090.67475101737,4.054596311595027,60965.53225234704,,,,,,,-367000.0,141000.0,84200.0
1631.276718,-42300.0,6700.0,11600.0,-3.97,-0.666,0.0071,22666.29909,5021.620424549781,44370.48568587006,4.045050196227483,60199.03020508652,,,,,,,-367000.0,141000.0,84200.0
1632.276718,-42500.0,6660.0,11600.0,-3.96,-0.668,0.0039,22666.29909,5025.645906683638,44555.19722770846,4.025482133856763,59700.9331241495,,,,,,,-367000.0,141000.0,84100.0
1633.276718,-42800.0,6620.0,11600.0,-3.95,-0.67,0.0008,22666.29909,5029.661854792117,44835.5260925976,4.015948108479491,58956.72081483137,,,,,,,-367000.0,141000.0,84100.0
1634.276718,-43000.0,6580.0,11600.0,-3.94,-0.672,-0.0023,22666.29909,5033.668274720182,45020.62194150587,4.006419928065454,58472.93312242647,,,,,,,-367000.0,141000.0,84100.0
1635.276718,-43200.0,6540.0,11600.0,-3.93,-0.673,-0.0053,22666.29909,5037.665172178211,45205.88014849395,3.996897458029165,57994.65931409557,,,,,,,-367000.0,141000.0,84100.0
1636.276718,-43500.0,6500.0,11600.0,-3.92,-0.675,-0.0083,22666.29909,5041.652383871863,45486.92119719689,3.987211693652596,57280.23292024525,,,,,,,-367000.0,141000.0,84000.0
1637.276718,-43700.0,6460.0,11600.0,-3.91,-0.677,-0.0112,22666.29909,5045.63008344448,45672.54755320749,3.977699572617318,56815.57245086053,,,,,,,-367000.0,141000.0,84000.0
